paper_title,first_author_year,antibody_name,antibody_type,manufacturer,catalog_number,labeling_stage,dilution
Light-sheet fluorescence expansion microscopy: fast mapping of neural circuits at super resolution,Bürgers 2019,chicken anti-GFP,primary,Abcam,ab13970,pre-expansion,1:5000
Light-sheet fluorescence expansion microscopy: fast mapping of neural circuits at super resolution,Bürgers 2019,rabbit anti-parvalbumin,primary,Swant,PV27,pre-expansion,1:1000
Light-sheet fluorescence expansion microscopy: fast mapping of neural circuits at super resolution,Bürgers 2019,Alexa Fluor 488-conjugated goat antibody against chicken IgY,secondary,Life Technologies,A-11039,pre-expansion,1:400
Light-sheet fluorescence expansion microscopy: fast mapping of neural circuits at super resolution,Bürgers 2019,Alexa Fluor 568 goat anti-rabbit,secondary,Life Technologies,A-11011,pre-expansion,1:400
Light-sheet fluorescence expansion microscopy: fast mapping of neural circuits at super resolution,Bürgers 2019,mouse anti-bassoon,primary,Enzo Life Sciences,SAP7F407,pre-expansion,1:200
Light-sheet fluorescence expansion microscopy: fast mapping of neural circuits at super resolution,Bürgers 2019,goat anti-mouse conjugated with biotin,secondary,Jackson ImmunoResearch,115-067-003,pre-expansion,1:200
Light-sheet fluorescence expansion microscopy: fast mapping of neural circuits at super resolution,Bürgers 2019,guinea pig anti-Shank2,primary,Synaptic Systems,162 204,pre-expansion,1:200
Light-sheet fluorescence expansion microscopy: fast mapping of neural circuits at super resolution,Bürgers 2019,goat anti-guinea pig conjugated with Alexa Fluor 568,secondary,Life Technologies,A-11075,pre-expansion,1:200
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,Synaptobrevin 2 (primary antibody),primary,Synaptic Systems,104 202,,10 μg/ml
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,RIM1/2 (primary antibody),primary,Synaptic Systems,140 205,,10 μg/ml
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,Homer1 (primary antibody),primary,Synaptic Systems,160 003,,5 μg/ml
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,VGlut1 (primary antibody),primary,Synaptic Systems,135 304,,5 μg/ml
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,Munc13-1 (primary antibody),primary,Synaptic Systems,126 103,,5 μg/ml
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,Neurofilament-L (primary antibody),primary,Synaptic Systems,171 011,,10 μg/ml
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,"Goat anti-mouse IgG, Alexa Fluor 488",secondary,Invitrogen (Thermo Fisher),A11017,post-expansion,20 μg/ml
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,"Goat anti-guinea pig IgG, Alexa Fluor 488",secondary,Jackson ImmunoResearch,106-546-003,,10 μg/ml
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,"Donkey anti-guinea pig IgG, CF568",secondary,Sigma,SAB4600469,post-expansion,10 μg/ml
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,"Goat anti-rabbit IgG, CF568",secondary,Sigma,SAB4600400,,10 μg/ml
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,"Goat anti-rabbit IgG, ATTO643 (self-labeled)",secondary,Invitrogen (conjugated in-house),31212 (starting antibody) / self-labeled,post-expansion,10 μg/ml
Enhanced synaptic protein visualization by multicolor super-resolution expansion microscopy,Eilts 2023,"Goat anti-rabbit secondary antibody (unconjugated, starting material)",secondary,Invitrogen,31212,,
Expansion Microscopy of trichomonads,Bandeira 2023,"monoclonal anti-α tubulin (Sigma-Aldrich, Clone B512)",primary,Sigma-Aldrich,Clone B512,post-expansion,1:400
Imaging Giardia intestinalis cellular organisation using expansion microscopy reveals atypical centrin localisation,Soukup 2024,rat monoclonal Anti-HA High Affinity antibody (clone 3F10),primary,Roche,11867423001,pre-expansion,1:1000 (WB); 1:250 (IF)
Imaging Giardia intestinalis cellular organisation using expansion microscopy reveals atypical centrin localisation,Soukup 2024,anti-rat IgG conjugated with horseradish peroxidase,secondary,Sigma,A5795,,1:20000
Imaging Giardia intestinalis cellular organisation using expansion microscopy reveals atypical centrin localisation,Soukup 2024,rabbit anti-HA tag antibody (C29F4),primary,Cell Signalling Technology,3724S,post-expansion,1:50 (post-expansion); 1:500 (non-expanded)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Chicken anti-GFP (polyclonal IgY),primary,Abcam,ab13970,pre-expansion,1:500 (20.0 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Rabbit anti-RFP (polyclonal IgG),primary,Rockland,600-401-379,pre-expansion,1:500 (2.4 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Chicken anti-RFP (polyclonal IgY),primary,Rockland,600-901-379,pre-expansion,1:250 (4.0 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Rabbit anti-GOLGA5 / Golgin-84 (polyclonal IgG),primary,Abcam,ab224040,pre-expansion,1:500 (0.2 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Rabbit anti-COX4 (polyclonal IgG),primary,Synaptic Systems,298 003,pre-expansion,1:500 (1.0 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Rabbit anti-ERGIC-53/P58 (polyclonal IgG),primary,Sigma Aldrich,E1031,pre-expansion,1:600 (0.8-1.3 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Rabbit anti-ST3GAL5 (polyclonal IgG),primary,Sigma Aldrich,AV46358,pre-expansion,1:250 (2.0-4.0 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Rabbit anti-MCU (polyclonal IgG),primary,Sigma Aldrich,HPA016480,pre-expansion,1:500 (0.2 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Goat anti-Mouse IgG (H+L) Alexa Fluor 488,secondary,Invitrogen,A11029,pre-expansion,1:500 (4.0 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Goat anti-Mouse IgG (H+L) Alexa Fluor 546,secondary,Invitrogen,A11030,pre-expansion,1:500 (4.0 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Goat anti-Rabbit IgG (H+L) Alexa Fluor 488,secondary,Invitrogen,A11034,pre-expansion,1:500 (4.0 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Goat anti-Rabbit IgG (H+L) Alexa Fluor 546,secondary,Invitrogen,A11035,pre-expansion,1:500 (4.0 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Goat anti-Chicken IgY (H+L) Alexa Fluor 488,secondary,Invitrogen,A11039,pre-expansion,1:500 (4.0 µg/mL)
Protein-retention expansion microscopy for visualizing subcellular organelles in fixed brain tissue,Campbell 2021,Goat anti-Chicken IgY (H+L) Alexa Fluor 546,secondary,Invitrogen,A11040,pre-expansion,1:500 (4.0 µg/mL)
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,rabbit anti-lamin B1 antibody,primary,Abcam,ab16048,pre-expansion,1 μg/ml
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,rabbit anti-β tubulin antibody,primary,Abcam,ab6046,pre-expansion,1 μg/ml
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,mouse anti-GFAP antibody,primary,Synaptic Systems,173011,pre-expansion,2 μg/ml
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,guinea pig anti-NeuN/Fox3 antibody,primary,Synaptic Systems,266004,pre-expansion,2 μg/ml
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,rabbit anti-MAP2 antibody,primary,Abcam,ab32454,pre-expansion,2 μg/ml
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,chicken anti-MBP antibody,primary,Aves,MBP,pre-expansion,2 μg/ml
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,goat anti-rabbit antibody,secondary,Jackson Immunoresearch,111-005-144,pre-expansion,
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,goat anti-chicken antibody,secondary,Jackson Immunoresearch,103-005-155,pre-expansion,
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,goat anti-mouse antibody,secondary,Jackson Immunoresearch,115-005-166,pre-expansion,
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,donkey anti-rabbit antibody,secondary,Jackson Immunoresearch,711-005-152,pre-expansion,
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,goat anti-chicken CF488A,secondary,Biotium,20079,pre-expansion,1 μg/ml
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,goat anti-rabbit CF568,secondary,Biotium,20102,pre-expansion,1 μg/ml
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,goat anti-guinea-pig CF660R,secondary,Biotium,20496,pre-expansion,1 μg/ml
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,goat anti-mouse Alexa 405,secondary,Thermo Fisher Scientific,A-31553,pre-expansion,
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,goat anti-chicken Alexa 488,secondary,Thermo Fisher Scientific,A-11039,pre-expansion,
Multiplexed expansion microscopy of the brain through fluorophore screening,Min 2019,goat anti-rabbit Alexa 568,secondary,Thermo Fisher Scientific,A-11011,pre-expansion,
Expansion microscopy allows quantitative characterization of structural organization of platelet aggregates,Faulkner 2025,Anti-human CD41 monoclonal antibody,primary,Agilent,F708801-2,pre-expansion,1:250
Expansion microscopy allows quantitative characterization of structural organization of platelet aggregates,Faulkner 2025,Goat anti–mouse immunoglobulin G conjugated to CF633 dye,secondary,Biotium,20120,pre-expansion,1:1000
Expansion microscopy of the chick embryo neural tube to overcome molecular crowding at the centrosomes-cilia,Wilmerding 2023,Anti-mouse Centrin (20H5),primary,Sigma-Aldrich,04-1624,pre-expansion,1:500
Expansion microscopy of the chick embryo neural tube to overcome molecular crowding at the centrosomes-cilia,Wilmerding 2023,Anti-mouse Pericentrin,primary,Abcam,ab4448,pre-expansion,1:200
Expansion microscopy of the chick embryo neural tube to overcome molecular crowding at the centrosomes-cilia,Wilmerding 2023,Anti-Chick GFP,primary,AvesLabs,GFP3717982,pre-expansion,1:500
Expansion microscopy of the chick embryo neural tube to overcome molecular crowding at the centrosomes-cilia,Wilmerding 2023,Anti-mouse Polyglutamylated-tubulin (Poly E),primary,Enzo Life Sciences,AG-20B-0020,pre-expansion,1:500
Expansion microscopy of the chick embryo neural tube to overcome molecular crowding at the centrosomes-cilia,Wilmerding 2023,Alexa Fluor 488 donkey anti-rabbit IgG (H+L),secondary,Thermo Fisher Scientific,A-21206,pre-expansion,1:500
Expansion microscopy of the chick embryo neural tube to overcome molecular crowding at the centrosomes-cilia,Wilmerding 2023,Alexa Fluor 488 donkey anti-mouse IgG (H+L),secondary,Thermo Fisher Scientific,A-21202,pre-expansion,1:500
